school,rawOffAll,adjOffAll,rawDefAll,adjDefAll,rawOffPass,adjOffPass,rawDefPass,adjDefPass,rawOffRush,adjOffRush,rawDefRush,adjDefRush
Air Force,0.288,0.224,0.219,0.223,0.381,0.254,0.343,0.29,0.275,0.208,0.134,0.14
Akron,0.066,0.108,0.345,0.28,0.13,0.171,0.548,0.364,0.007,0.101,0.199,0.17
Alabama,0.291,0.256,-0.021,0.02,0.381,0.308,0.012,0.095,0.228,0.187,0.04,0.088
Appalachian State,0.225,0.224,0.26,0.236,0.226,0.238,0.297,0.248,0.215,0.186,0.22,0.201
Arizona,0.272,0.238,0.429,0.325,0.36,0.298,0.491,0.353,0.135,0.147,0.36,0.243
Arizona State,0.226,0.197,0.194,0.167,0.378,0.301,0.182,0.185,0.038,0.099,0.193,0.164
Arkansas,0.247,0.259,0.316,0.261,0.437,0.346,0.359,0.289,0.185,0.171,0.297,0.224
Arkansas State,0.088,0.137,0.28,0.253,0.202,0.234,0.481,0.347,-0.054,0.064,0.141,0.155
Army,0.277,0.226,0.343,0.267,0.446,0.275,0.389,0.283,0.236,0.192,0.314,0.227
Auburn,0.158,0.184,0.225,0.176,0.214,0.233,0.195,0.199,0.153,0.158,0.252,0.19
Ball State,0.128,0.108,0.197,0.195,0.183,0.169,0.249,0.24,0.055,0.101,0.186,0.173
Baylor,0.23,0.212,0.14,0.146,0.276,0.242,0.188,0.199,0.241,0.206,0.093,0.128
Boise State,0.212,0.195,0.072,0.147,0.283,0.256,0.084,0.204,0.191,0.168,0.102,0.129
Boston College,0.068,0.135,0.214,0.203,0.16,0.218,0.38,0.289,-0.053,0.079,0.072,0.124
Bowling Green,0.076,0.12,0.132,0.148,0.136,0.187,0.17,0.189,0.079,0.128,0.225,0.189
Buffalo,0.156,0.168,0.171,0.18,0.277,0.254,0.293,0.256,0.105,0.134,0.114,0.134
BYU,0.26,0.224,0.28,0.247,0.352,0.299,0.366,0.31,0.156,0.141,0.221,0.181
California,0.165,0.141,0.202,0.18,0.178,0.18,0.286,0.256,0.164,0.145,0.108,0.122
Central Michigan,0.054,0.108,0.22,0.213,0.158,0.201,0.339,0.281,-0.003,0.089,0.122,0.144
Charlotte,0.146,0.152,0.349,0.322,0.208,0.221,0.537,0.383,0.171,0.155,0.268,0.217
Cincinnati,0.197,0.18,0.106,0.113,0.285,0.249,0.098,0.153,0.086,0.114,0.165,0.143
Clemson,0.226,0.21,0.076,0.11,0.291,0.267,0.086,0.142,0.22,0.178,0.064,0.126
Coastal Carolina,0.387,0.285,0.288,0.258,0.521,0.342,0.412,0.313,0.273,0.193,0.222,0.19
Colorado,0.08,0.104,0.362,0.278,0.045,0.129,0.469,0.339,0.166,0.153,0.259,0.191
Colorado State,-0.054,0.026,0.189,0.206,-0.029,0.112,0.225,0.247,-0.033,0.057,0.212,0.18
Connecticut,0.086,0.127,0.233,0.228,0.066,0.178,0.227,0.237,0.156,0.151,0.235,0.194
