offense,hfa,defense,ppa
North Texas,1.0,Houston Baptist,-0.7029700220436519
North Texas,1.0,Houston Baptist,-0.15222912011238687
North Texas,1.0,Houston Baptist,3.170623710240112
North Texas,1.0,Houston Baptist,-0.375732386813203
North Texas,1.0,Houston Baptist,-0.8863117331841454
North Texas,1.0,Houston Baptist,-0.1658914045729816
North Texas,1.0,Houston Baptist,2.0498275212760273
North Texas,1.0,Houston Baptist,0.258293699621337
North Texas,1.0,Houston Baptist,-0.8109939031549853
North Texas,1.0,Houston Baptist,3.6931387584651993
Houston Baptist,-1.0,North Texas,-0.04789648957461967
Houston Baptist,-1.0,North Texas,-0.3234488104240292
Houston Baptist,-1.0,North Texas,4.192600769358897
Houston Baptist,-1.0,North Texas,0.1956069877394565
Houston Baptist,-1.0,North Texas,-0.034451840519246
Houston Baptist,-1.0,North Texas,-0.368994498525638
Houston Baptist,-1.0,North Texas,0.2495495013897
Houston Baptist,-1.0,North Texas,-0.24956995090562
Houston Baptist,-1.0,North Texas,-4.092055836912595
North Texas,1.0,Houston Baptist,0.1832299019007113
North Texas,1.0,Houston Baptist,0.1141705962588828
North Texas,1.0,Houston Baptist,-0.4404078956667625
North Texas,1.0,Houston Baptist,-0.19768513834417423
North Texas,1.0,Houston Baptist,2.697351371846831
North Texas,1.0,Houston Baptist,1.3023640826924845
North Texas,1.0,Houston Baptist,-0.353863111919599
North Texas,1.0,Houston Baptist,2.8715194255889624
Houston Baptist,-1.0,North Texas,0.4935789008473366
Houston Baptist,-1.0,North Texas,0.3874283433304644
Houston Baptist,-1.0,North Texas,-0.8947814664467213
Houston Baptist,-1.0,North Texas,2.888870230295341
Houston Baptist,-1.0,North Texas,-0.3535783157576075
Houston Baptist,-1.0,North Texas,0.3265009710321518
Houston Baptist,-1.0,North Texas,0.8260364530691147
Houston Baptist,-1.0,North Texas,-0.557844891990525
Houston Baptist,-1.0,North Texas,-0.2434425949994115
Houston Baptist,-1.0,North Texas,0.254460062730006
North Texas,1.0,Houston Baptist,0.0963261532824955
North Texas,1.0,Houston Baptist,1.3487469471391549
North Texas,1.0,Houston Baptist,1.6586284385373276
North Texas,1.0,Houston Baptist,-0.6351269961541294
North Texas,1.0,Houston Baptist,-0.4622665488166931
North Texas,1.0,Houston Baptist,1.3528455518243505
North Texas,1.0,Houston Baptist,-0.126302256434185
North Texas,1.0,Houston Baptist,2.773925023082645
Houston Baptist,-1.0,North Texas,0.2800647464981001
Houston Baptist,-1.0,North Texas,0.5512637693896468
Houston Baptist,-1.0,North Texas,0.1043573190685727
Houston Baptist,-1.0,North Texas,-0.946565887314053
Houston Baptist,-1.0,North Texas,-0.5147129574042966
North Texas,1.0,Houston Baptist,-0.6425305871127751
North Texas,1.0,Houston Baptist,-0.14711231869782804
Houston Baptist,-1.0,North Texas,-0.046112472291792
Houston Baptist,-1.0,North Texas,0.229966028252381
Houston Baptist,-1.0,North Texas,-0.024495891923003
Houston Baptist,-1.0,North Texas,0.432188890233315
Houston Baptist,-1.0,North Texas,2.196754630327211
North Texas,1.0,Houston Baptist,1.8011418824049565
North Texas,1.0,Houston Baptist,-0.6797853383066688
North Texas,1.0,Houston Baptist,-0.6391351689786351
North Texas,1.0,Houston Baptist,-0.3553813452359317
Houston Baptist,-1.0,North Texas,0.0855067756440384
Houston Baptist,-1.0,North Texas,-0.25422428981381007
Houston Baptist,-1.0,North Texas,0.9474843046598247
Houston Baptist,-1.0,North Texas,-0.8947814664467213
Houston Baptist,-1.0,North Texas,-0.48647765014911126
Houston Baptist,-1.0,North Texas,3.937141490234139
Houston Baptist,-1.0,North Texas,-0.9629812872526866
Houston Baptist,-1.0,North Texas,2.6602202166727125
Houston Baptist,-1.0,North Texas,0.672114008545661
Houston Baptist,-1.0,North Texas,-0.3048472994988835
Houston Baptist,-1.0,North Texas,-0.3252599830349858
Houston Baptist,-1.0,North Texas,-0.5161718367530703
North Texas,1.0,Houston Baptist,0.2888240217992033
North Texas,1.0,Houston Baptist,-0.2949332143131835
North Texas,1.0,Houston Baptist,1.8304637760797675
North Texas,1.0,Houston Baptist,-1.1496266880203319
North Texas,1.0,Houston Baptist,3.2870920764131792
North Texas,1.0,Houston Baptist,-0.252533131086597
North Texas,1.0,Houston Baptist,0.222772725553515
North Texas,1.0,Houston Baptist,-1.1065650820214687
Houston Baptist,-1.0,North Texas,2.1543879158283823
Houston Baptist,-1.0,North Texas,-0.6630222646782312
Houston Baptist,-1.0,North Texas,-0.8862898506969809
Houston Baptist,-1.0,North Texas,-0.8123073663183968
Houston Baptist,-1.0,North Texas,0.9305625119459905
Houston Baptist,-1.0,North Texas,-1.041155320344064
Houston Baptist,-1.0,North Texas,-0.4083322546240318
Houston Baptist,-1.0,North Texas,2.5886258940329956
Houston Baptist,-1.0,North Texas,-0.4041069346079117
Houston Baptist,-1.0,North Texas,0.3599625368733827
Houston Baptist,-1.0,North Texas,0.957606037859772
Houston Baptist,-1.0,North Texas,-0.977642243698774
Houston Baptist,-1.0,North Texas,1.327056937326624
Houston Baptist,-1.0,North Texas,-0.9950607759009475
North Texas,1.0,Houston Baptist,-0.956890163923906
North Texas,1.0,Houston Baptist,-0.454463985101965
North Texas,1.0,Houston Baptist,2.470228036787714
North Texas,1.0,Houston Baptist,-0.9290991816818684
North Texas,1.0,Houston Baptist,0.8755311848923155
North Texas,1.0,Houston Baptist,1.3723421466921157
North Texas,1.0,Houston Baptist,3.0514086314767432
Houston Baptist,-1.0,North Texas,-0.7029700220436519
Houston Baptist,-1.0,North Texas,-0.06222348980634162
Houston Baptist,-1.0,North Texas,-0.3146897268978579
North Texas,1.0,Houston Baptist,3.3579460060402
North Texas,1.0,Houston Baptist,-0.6918622905019662
North Texas,1.0,Houston Baptist,3.6644510742789222
Houston Baptist,-1.0,North Texas,0.0945451165334843
Houston Baptist,-1.0,North Texas,-0.9497442586895231
Houston Baptist,-1.0,North Texas,-0.26587881160037785
North Texas,1.0,Houston Baptist,-0.8627910327708888
North Texas,1.0,Houston Baptist,0.20738507933330744
North Texas,1.0,Houston Baptist,2.4248252684489855
North Texas,1.0,Houston Baptist,1.2033650814847585
North Texas,1.0,Houston Baptist,0.0757087852917575
North Texas,1.0,Houston Baptist,-0.209067424082246
North Texas,1.0,Houston Baptist,-0.29509485739271
North Texas,1.0,Houston Baptist,2.823761850174648
Houston Baptist,-1.0,North Texas,-0.7029700220436519
Houston Baptist,-1.0,North Texas,1.6335325339896425
Houston Baptist,-1.0,North Texas,2.305246437702383
Houston Baptist,-1.0,North Texas,-0.3100175172690756
Houston Baptist,-1.0,North Texas,0.5196668735465306
Houston Baptist,-1.0,North Texas,-0.3882383440694163
Houston Baptist,-1.0,North Texas,-0.4964187188337484
Houston Baptist,-1.0,North Texas,-1.5842666945893455
Houston Baptist,-1.0,North Texas,1.6706926119305996
Houston Baptist,-1.0,North Texas,0.938021275120443
North Texas,1.0,Houston Baptist,-0.5874795431016855
North Texas,1.0,Houston Baptist,2.823822730701634
North Texas,1.0,Houston Baptist,-0.385960016074776
North Texas,1.0,Houston Baptist,4.227371948196149
Houston Baptist,-1.0,North Texas,-0.664842805991146
Houston Baptist,-1.0,North Texas,-0.07060685340530524
Houston Baptist,-1.0,North Texas,-0.03055811460695336
North Texas,1.0,Houston Baptist,-1.1618692012952412
North Texas,1.0,Houston Baptist,0.0723601066912227
North Texas,1.0,Houston Baptist,2.1770731879830425
North Texas,1.0,Houston Baptist,-0.4522778946200265
North Texas,1.0,Houston Baptist,-0.6084005148647674
North Texas,1.0,Houston Baptist,0.5893070815170951
North Texas,1.0,Houston Baptist,3.1714556902337563
Houston Baptist,-1.0,North Texas,0.47534585042398364
Houston Baptist,-1.0,North Texas,-0.0971966158877571
Houston Baptist,-1.0,North Texas,0.4629498851543028
Houston Baptist,-1.0,North Texas,-0.7123638939407835
Houston Baptist,-1.0,North Texas,1.0531664632351907
Houston Baptist,-1.0,North Texas,5.775616872754965
North Texas,1.0,Houston Baptist,-0.45260367932203766
North Texas,1.0,Houston Baptist,1.2876417883520244
North Texas,1.0,Houston Baptist,0.1088137823196469
North Texas,1.0,Houston Baptist,-0.873397455014211
North Texas,1.0,Houston Baptist,-0.7186703560809607
Houston Baptist,-1.0,North Texas,1.1993956515648607
Houston Baptist,-1.0,North Texas,-0.2317555680667987
Houston Baptist,-1.0,North Texas,1.3193498067983958
Houston Baptist,-1.0,North Texas,-0.1462695033279216
Houston Baptist,-1.0,North Texas,0.9750440586356726
Houston Baptist,-1.0,North Texas,3.094592648585188
North Texas,1.0,Houston Baptist,0.0945451165334843
North Texas,1.0,Houston Baptist,-0.6292774000892614
North Texas,1.0,Houston Baptist,1.4652947955017677
North Texas,1.0,Houston Baptist,-0.6439997383019928
North Texas,1.0,Houston Baptist,0.3242953730701554
North Texas,1.0,Houston Baptist,-0.7793377428742323
North Texas,1.0,Houston Baptist,2.404822783760028
North Texas,1.0,Houston Baptist,0.830633837107577
North Texas,1.0,Houston Baptist,-0.226207639518348
North Texas,1.0,Houston Baptist,0.555547785925169
North Texas,1.0,Houston Baptist,0.193301563662509
North Texas,1.0,Houston Baptist,-0.264051636883908
South Alabama,-1.0,Southern Mississippi,-0.7029700220436519
South Alabama,-1.0,Southern Mississippi,-0.2284411734150149
South Alabama,-1.0,Southern Mississippi,7.009166315179988
Southern Mississippi,1.0,South Alabama,-0.5874795431016855
Southern Mississippi,1.0,South Alabama,-0.40831395320271024
Southern Mississippi,1.0,South Alabama,-0.0153384423844747
South Alabama,-1.0,Southern Mississippi,-0.367641675563645
South Alabama,-1.0,Southern Mississippi,-0.6166029178742356
South Alabama,-1.0,Southern Mississippi,1.932523248754503
South Alabama,-1.0,Southern Mississippi,-0.1673002614345122
South Alabama,-1.0,Southern Mississippi,-2.1736873887670605
Southern Mississippi,1.0,South Alabama,2.4691501286181934
Southern Mississippi,1.0,South Alabama,-1.1143038065675126
Southern Mississippi,1.0,South Alabama,2.0189895777752156
Southern Mississippi,1.0,South Alabama,-0.3527156300054807
Southern Mississippi,1.0,South Alabama,-1.1965964853697313
Southern Mississippi,1.0,South Alabama,-1.0236879046157308
South Alabama,-1.0,Southern Mississippi,0.33161303554051
South Alabama,-1.0,Southern Mississippi,0.2392954147189048
South Alabama,-1.0,Southern Mississippi,-0.2283792558160922
South Alabama,-1.0,Southern Mississippi,0.7935179451600343
South Alabama,-1.0,Southern Mississippi,-0.7982008475508557
South Alabama,-1.0,Southern Mississippi,2.4689360221317003
South Alabama,-1.0,Southern Mississippi,-0.4184086843592085
South Alabama,-1.0,Southern Mississippi,3.3900709243723184
South Alabama,-1.0,Southern Mississippi,1.213235297672098
Southern Mississippi,1.0,South Alabama,-0.8014893508157099
Southern Mississippi,1.0,South Alabama,-0.29427450685877776
Southern Mississippi,1.0,South Alabama,-0.2192758455757895
South Alabama,-1.0,Southern Mississippi,-0.3683205836524783
South Alabama,-1.0,Southern Mississippi,-3.6590906325705657
Southern Mississippi,1.0,South Alabama,0.8218247388783606
Southern Mississippi,1.0,South Alabama,0.0796533817976464
Southern Mississippi,1.0,South Alabama,1.5056894652482098
Southern Mississippi,1.0,South Alabama,-0.889254676573113
Southern Mississippi,1.0,South Alabama,0.8904955402525615
Southern Mississippi,1.0,South Alabama,4.453866558556944
Southern Mississippi,1.0,South Alabama,-0.854701227650125
Southern Mississippi,1.0,South Alabama,2.067936525322223
South Alabama,-1.0,Southern Mississippi,0.246959168535291
