school,rawOff,adjOff,rawDef,adjDef
Air Force,0.307,0.262,0.133,0.124
Akron,-0.062,-0.06,0.217,0.249
Alabama,0.397,0.378,0.034,0.048
Appalachian State,0.259,0.22,0.095,0.115
Arizona,0.18,0.179,0.257,0.214
Arizona State,0.161,0.162,0.193,0.17
Arkansas,0.057,0.11,0.336,0.277
Arkansas State,0.198,0.172,0.193,0.199
Army,0.217,0.175,0.217,0.195
Auburn,0.193,0.223,0.075,0.023
Ball State,0.234,0.193,0.227,0.222
Baylor,0.209,0.212,0.086,0.067
Boise State,0.244,0.22,0.146,0.154
Boston College,0.21,0.214,0.246,0.236
Bowling Green,-0.031,-0.007,0.355,0.336
Buffalo,0.188,0.146,0.058,0.11
BYU,0.183,0.173,0.176,0.18
California,0.135,0.148,0.127,0.113
Central Michigan,0.206,0.176,0.13,0.175
Charlotte,0.223,0.204,0.252,0.265
Cincinnati,0.183,0.173,0.086,0.082
Clemson,0.347,0.318,0.004,-0.004
Coastal Carolina,0.207,0.146,0.27,0.258
Colorado,0.173,0.182,0.27,0.227
Colorado State,0.194,0.164,0.209,0.222
Connecticut,0.04,0.058,0.347,0.319
Duke,0.017,0.058,0.16,0.152
East Carolina,0.133,0.155,0.337,0.32
Eastern Michigan,0.235,0.212,0.276,0.282
Florida,0.244,0.273,0.071,0.091
Florida Atlantic,0.198,0.195,0.124,0.131
Florida International,0.18,0.147,0.166,0.192
Florida State,0.17,0.159,0.152,0.137
Fresno State,0.22,0.187,0.195,0.188
Georgia,0.187,0.226,0.028,0.037
Georgia Southern,0.134,0.119,0.193,0.158
Georgia State,0.205,0.183,0.292,0.28
Georgia Tech,0.08,0.14,0.22,0.221
Hawai'i,0.282,0.253,0.25,0.243
Houston,0.173,0.188,0.303,0.24
Illinois,0.106,0.132,0.114,0.142
Indiana,0.176,0.194,0.146,0.152
Iowa,0.151,0.175,0.066,0.068
Iowa State,0.238,0.243,0.17,0.144
Kansas,0.182,0.19,0.298,0.251
Kansas State,0.163,0.165,0.186,0.151
Kent State,0.213,0.185,0.29,0.287
Kentucky,0.194,0.182,0.149,0.152
Liberty,0.218,0.16,0.168,0.208
Louisiana,0.31,0.268,0.143,0.157
Louisiana Monroe,0.223,0.209,0.314,0.291
Louisiana Tech,0.222,0.17,0.065,0.134
Louisville,0.271,0.271,0.273,0.256
LSU,0.408,0.417,0.103,0.07
Marshall,0.129,0.133,0.161,0.164
Maryland,0.048,0.103,0.227,0.197
Memphis,0.307,0.307,0.157,0.15
Miami,0.104,0.13,0.105,0.118
Miami (OH),0.042,0.062,0.166,0.165
Michigan,0.197,0.235,0.072,0.061
Michigan State,0.076,0.118,0.085,0.091
Middle Tennessee,0.198,0.207,0.207,0.234
